R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,emergences,trials
6,0.75,-30,0.6666666666666666,0.05,2179,5000
2,1.0,-30,0.6666666666666666,0.05,0,5000
3,1.0,-30,0.6666666666666666,0.05,3,5000
4,1.0,-30,0.6666666666666666,0.05,275,5000
5,1.0,-30,0.6666666666666666,0.05,839,5000
4,0.0,-240,0.0,0.05,2456,5000
6,0.0,120,0.0416666666666666,0.05,3137,5000
6,1.0,-30,0.6666666666666666,0.05,1332,5000
2,0.0,0,0.6666666666666666,0.05,1063,5000
3,0.0,0,0.6666666666666666,0.05,1954,5000
4,0.0,0,0.6666666666666666,0.05,2373,5000
5,0.0,0,0.6666666666666666,0.05,2746,5000
6,0.0,0,0.6666666666666666,0.05,3077,5000
2,0.25,0,0.6666666666666666,0.05,699,5000
3,0.25,0,0.6666666666666666,0.05,1599,5000
4,0.25,0,0.6666666666666666,0.05,2212,5000
5,0.25,0,0.6666666666666666,0.05,2596,5000
2,0.25,120,0.0416666666666666,0.05,729,5000
6,0.25,0,0.6666666666666666,0.05,2886,5000
2,0.5,0,0.6666666666666666,0.05,362,5000
3,0.5,0,0.6666666666666666,0.05,1097,5000
4,0.5,0,0.6666666666666666,0.05,1786,5000
5,0.5,0,0.6666666666666666,0.05,2271,5000
6,0.5,0,0.6666666666666666,0.05,2558,5000
2,0.75,0,0.6666666666666666,0.05,37,5000
3,0.75,0,0.6666666666666666,0.05,604,5000
4,0.75,0,0.6666666666666666,0.05,1242,5000
5,0.75,0,0.6666666666666666,0.05,1678,5000
3,0.25,120,0.0416666666666666,0.05,1568,5000
6,0.75,0,0.6666666666666666,0.05,2122,5000
2,1.0,0,0.6666666666666666,0.05,0,5000
3,1.0,0,0.6666666666666666,0.05,3,5000
4,1.0,0,0.6666666666666666,0.05,282,5000
5,1.0,0,0.6666666666666666,0.05,771,5000
6,1.0,0,0.6666666666666666,0.05,1249,5000
2,0.0,30,0.6666666666666666,0.05,1078,5000
3,0.0,30,0.6666666666666666,0.05,1919,5000
4,0.0,30,0.6666666666666666,0.05,2408,5000
5,0.0,30,0.6666666666666666,0.05,2740,5000
4,0.25,120,0.0416666666666666,0.05,2209,5000
6,0.0,30,0.6666666666666666,0.05,3009,5000
2,0.25,30,0.6666666666666666,0.05,765,5000
3,0.25,30,0.6666666666666666,0.05,1552,5000
4,0.25,30,0.6666666666666666,0.05,2191,5000
5,0.25,30,0.6666666666666666,0.05,2589,5000
6,0.25,30,0.6666666666666666,0.05,2895,5000
2,0.5,30,0.6666666666666666,0.05,372,5000
3,0.5,30,0.6666666666666666,0.05,1134,5000
4,0.5,30,0.6666666666666666,0.05,1747,5000
5,0.5,30,0.6666666666666666,0.05,2285,5000
5,0.25,120,0.0416666666666666,0.05,2546,5000
6,0.5,30,0.6666666666666666,0.05,2548,5000
2,0.75,30,0.6666666666666666,0.05,38,5000
3,0.75,30,0.6666666666666666,0.05,616,5000
4,0.75,30,0.6666666666666666,0.05,1196,5000
5,0.75,30,0.6666666666666666,0.05,1714,5000
6,0.75,30,0.6666666666666666,0.05,2102,5000
2,1.0,30,0.6666666666666666,0.05,0,5000
3,1.0,30,0.6666666666666666,0.05,11,5000
4,1.0,30,0.6666666666666666,0.05,267,5000
5,1.0,30,0.6666666666666666,0.05,731,5000
6,0.25,120,0.0416666666666666,0.05,2782,5000
6,1.0,30,0.6666666666666666,0.05,1180,5000
2,0.0,60,0.6666666666666666,0.05,1016,5000
3,0.0,60,0.6666666666666666,0.05,1854,5000
4,0.0,60,0.6666666666666666,0.05,2445,5000
5,0.0,60,0.6666666666666666,0.05,2752,5000
6,0.0,60,0.6666666666666666,0.05,3059,5000
2,0.25,60,0.6666666666666666,0.05,741,5000
3,0.25,60,0.6666666666666666,0.05,1671,5000
4,0.25,60,0.6666666666666666,0.05,2206,5000
5,0.25,60,0.6666666666666666,0.05,2590,5000
2,0.5,120,0.0416666666666666,0.05,342,5000
6,0.25,60,0.6666666666666666,0.05,2851,5000
2,0.5,60,0.6666666666666666,0.05,330,5000
3,0.5,60,0.6666666666666666,0.05,1128,5000
4,0.5,60,0.6666666666666666,0.05,1768,5000
5,0.5,60,0.6666666666666666,0.05,2242,5000
6,0.5,60,0.6666666666666666,0.05,2489,5000
2,0.75,60,0.6666666666666666,0.05,31,5000
3,0.75,60,0.6666666666666666,0.05,572,5000
4,0.75,60,0.6666666666666666,0.05,1147,5000
5,0.75,60,0.6666666666666666,0.05,1726,5000
3,0.5,120,0.0416666666666666,0.05,1165,5000
6,0.75,60,0.6666666666666666,0.05,2115,5000
2,1.0,60,0.6666666666666666,0.05,0,5000
3,1.0,60,0.6666666666666666,0.05,5,5000
4,1.0,60,0.6666666666666666,0.05,226,5000
5,1.0,60,0.6666666666666666,0.05,681,5000
6,1.0,60,0.6666666666666666,0.05,1197,5000
2,0.0,90,0.6666666666666666,0.05,1020,5000
3,0.0,90,0.6666666666666666,0.05,1948,5000
4,0.0,90,0.6666666666666666,0.05,2400,5000
5,0.0,90,0.6666666666666666,0.05,2783,5000
4,0.5,120,0.0416666666666666,0.05,1733,5000
6,0.0,90,0.6666666666666666,0.05,3106,5000
2,0.25,90,0.6666666666666666,0.05,720,5000
3,0.25,90,0.6666666666666666,0.05,1600,5000
4,0.25,90,0.6666666666666666,0.05,2192,5000
5,0.25,90,0.6666666666666666,0.05,2581,5000
6,0.25,90,0.6666666666666666,0.05,2862,5000
2,0.5,90,0.6666666666666666,0.05,308,5000
3,0.5,90,0.6666666666666666,0.05,1136,5000
4,0.5,90,0.6666666666666666,0.05,1741,5000
5,0.5,90,0.6666666666666666,0.05,2232,5000
5,0.5,120,0.0416666666666666,0.05,2280,5000
6,0.5,90,0.6666666666666666,0.05,2503,5000
2,0.75,90,0.6666666666666666,0.05,25,5000
3,0.75,90,0.6666666666666666,0.05,544,5000
4,0.75,90,0.6666666666666666,0.05,1144,5000
5,0.75,90,0.6666666666666666,0.05,1611,5000
6,0.75,90,0.6666666666666666,0.05,2148,5000
2,1.0,90,0.6666666666666666,0.05,0,5000
3,1.0,90,0.6666666666666666,0.05,12,5000
4,1.0,90,0.6666666666666666,0.05,231,5000
5,1.0,90,0.6666666666666666,0.05,669,5000
5,0.0,-240,0.0,0.05,2760,5000
6,0.5,120,0.0416666666666666,0.05,2599,5000
6,1.0,90,0.6666666666666666,0.05,1105,5000
2,0.0,120,0.6666666666666666,0.05,1026,5000
3,0.0,120,0.6666666666666666,0.05,1868,5000
