R0,natural_cross_immunity,vaccine_timing,vaccine_coverage,vaccine_cross_immunity,group,emergences,trials
5,0.75,360,0.5416666666666666,0.75,18,25,50
6,0.75,360,0.5416666666666666,0.75,18,27,50
2,1,360,0.5416666666666666,1,18,11,50
3,1,360,0.5416666666666666,1,18,22,50
4,1,360,0.5416666666666666,1,18,23,50
5,1,360,0.5416666666666666,1,18,28,50
6,1,360,0.5416666666666666,1,18,26,50
2,0,-360,0.5833333333333333,0,18,14,50
3,0,-360,0.5833333333333333,0,18,23,50
4,0,-360,0.5833333333333333,0,18,25,50
5,0,-360,0.5833333333333333,0,18,27,50
6,0,-360,0.5833333333333333,0,18,28,50
2,0.25,-360,0.5833333333333333,0.25,18,13,50
3,0.25,-360,0.5833333333333333,0.25,18,22,50
4,0.25,-360,0.5833333333333333,0.25,18,23,50
5,0.25,-360,0.5833333333333333,0.25,18,30,50
6,0.25,-360,0.5833333333333333,0.25,18,29,50
2,0.5,-360,0.5833333333333333,0.5,18,9,50
3,0.5,-360,0.5833333333333333,0.5,18,27,50
4,0.5,-360,0.5833333333333333,0.5,18,20,50
5,0.5,-360,0.5833333333333333,0.5,18,28,50
6,0.5,-360,0.5833333333333333,0.5,18,25,50
2,0.75,-360,0.5833333333333333,0.75,18,5,50
3,0.75,-360,0.5833333333333333,0.75,18,21,50
4,0.75,-360,0.5833333333333333,0.75,18,25,50
5,0.75,-360,0.5833333333333333,0.75,18,30,50
6,0.75,-360,0.5833333333333333,0.75,18,31,50
2,1,-360,0.5833333333333333,1,18,9,50
3,1,-360,0.5833333333333333,1,18,22,50
4,1,-360,0.5833333333333333,1,18,20,50
5,1,-360,0.5833333333333333,1,18,29,50
6,1,-360,0.5833333333333333,1,18,33,50
2,0,-330,0.5833333333333333,0,18,14,50
3,0,-330,0.5833333333333333,0,18,21,50
4,0,-330,0.5833333333333333,0,18,22,50
5,0,-330,0.5833333333333333,0,18,32,50
6,0,-330,0.5833333333333333,0,18,27,50
2,0.25,-330,0.5833333333333333,0.25,18,20,50
3,0.25,-330,0.5833333333333333,0.25,18,15,50
4,0.25,-330,0.5833333333333333,0.25,18,26,50
5,0.25,-330,0.5833333333333333,0.25,18,27,50
6,0.25,-330,0.5833333333333333,0.25,18,33,50
2,0.5,-330,0.5833333333333333,0.5,18,11,50
3,0.5,-330,0.5833333333333333,0.5,18,20,50
4,0.5,-330,0.5833333333333333,0.5,18,21,50
5,0.5,-330,0.5833333333333333,0.5,18,28,50
