virus,vaccine_timing,vaccine_coverage,group,emergences,trials
4,60,0.3333333333333333,33,5802,100000
1,90,0.3333333333333333,34,2,100000
2,90,0.3333333333333333,34,6434,100000
3,90,0.3333333333333333,34,3937,100000
4,90,0.3333333333333333,34,5950,100000
1,120,0.3333333333333333,34,0,100000
2,120,0.3333333333333333,34,6623,100000
3,120,0.3333333333333333,34,4111,100000
4,120,0.3333333333333333,34,6103,100000
1,150,0.3333333333333333,34,0,100000
2,150,0.3333333333333333,34,6752,100000
3,150,0.3333333333333333,34,4081,100000
4,150,0.3333333333333333,34,6159,100000
1,180,0.3333333333333333,34,1,100000
2,180,0.3333333333333333,34,6926,100000
3,180,0.3333333333333333,34,4198,100000
4,180,0.3333333333333333,34,6230,100000
1,210,0.3333333333333333,34,1,100000
2,210,0.3333333333333333,34,6999,100000
3,210,0.3333333333333333,34,4187,100000
4,210,0.3333333333333333,34,6400,100000
1,240,0.3333333333333333,34,0,100000
