R0_wuhan,recovery_wuhan,waning_wuhan,R0_alpha,recovery_alpha,waning_alpha,R0_delta,recovery_delta,waning_delta,R0_omicron,recovery_omicron,waning_omicron,weight
1.554369311128609,0.04793042306487111,6.965403999911523e-4,2.36712907477946,0.4585475307040435,2.604480440930303e-4,2.4625717811634726,0.11131623684720132,0.0036707671679398622,3.7826088420309976,0.4205337430427769,0.014268433429358414,2.752564245351939e-4
1.5792631693286416,0.05150540928744007,0.009189487433526683,2.3165383662215393,0.3650315921989277,4.047953879753119e-4,2.6903821832508954,0.07605576910162265,9.427814922069702e-4,3.112286211164156,0.3668593924341431,0.01507986626882864,7.715434322700145e-4
1.5807954012413894,0.05129213017692747,2.3356912257204847e-5,2.2818862645111944,0.37020794664467127,0.0011677413105850801,2.4699220565291413,0.0820368511511054,0.0070781834432301315,2.86567113523049,0.38032281760352493,0.015556439640937381,0.0034101824376720625
1.5528940066075152,0.05079381030949277,0.0022026973715443656,2.4035433267367496,0.44037175772805215,4.977357919982394e-4,2.5764271637972724,0.1112244731607014,0.004198756339345866,3.290045129364745,0.3680433395331976,0.014307490830973532,0.01038441758392654
1.554689498883154,0.05283959247560272,6.505551290567957e-4,2.434288611460954,0.4010795448645184,2.6820379877929873e-4,2.692175069429478,0.09490559015634407,0.007741961147715205,3.0126333871504603,0.3137930793441221,0.012444797415391631,0.004044296852406605
1.5788384882893889,0.04926785910628186,5.565411998216358e-4,2.229848987198168,0.4064870755458396,2.3965299787971633e-4,2.5187379608484917,0.11597474954263667,0.005109445702966251,3.5637223365264643,0.3447336976582049,0.013684390365624546,0.0023249835829120785
1.5864877143318217,0.05001828463280395,0.0024506179882647734,2.263982564125408,0.3356062158127924,5.485335939463826e-4,2.5310069642529736,0.08001424953961239,0.0017072271137031712,3.3762433626068624,0.3988271445870128,0.014253374318732614,0.00803635722778813
1.5794240966606348,0.04808102261376873,0.0010804103129395464,2.1726362132525714,0.3755571181965652,9.509758147028351e-4,2.5317807498959772,0.05805750774295512,0.001002351298483295,2.6691559138690297,0.3779582161182495,0.018882571321749312,0.0024772496673474195
1.5602803314091993,0.05142059215207899,0.004860429263248375,2.2965020399711316,0.4200474014759674,1.8013554130701407e-4,2.507385567983068,0.1093104620703484,0.0018101985003858084,3.736006670898985,0.37987296357687833,0.012584998891078905,0.0064305419155065565
1.5796229978807577,0.0496610013269153,7.685660824675219e-4,2.2591641523697072,0.4090290344756311,0.0012209726463984119,2.516555028974374,0.08938901558484842,0.0013603919272329454,3.5346395050247055,0.3291768825891888,0.011837221229898819,0.008476156979334086
1.5699243791511386,0.05121502610776907,0.0036692764156358868,2.3245818663996833,0.36901051940320234,9.868130407026782e-4,2.4782220794984955,0.07450017022297085,9.908894675957658e-5,3.063998968451551,0.4013764380359964,0.01807908727353703,0.004039556964937817
1.5983144890529966,0.04936814813050776,0.0017050352577094312,2.1958667866316213,0.3738968447585443,9.657968091240015e-5,2.6034135376342773,0.08435684250643445,0.0027270838948131614,2.9016622795919282,0.42349402541008496,0.01914430359692609,0.0015944215006238633
1.5699243791511386,0.05121502610776907,0.0010737559704066132,2.3245818663996833,0.36901051940320234,9.029634622469738e-4,2.6652663605695825,0.07318907369730317,7.9492497331293e-4,2.9454263407416335,0.3001163870111096,0.012294806138008443,0.005253072487766147
1.5816851648571155,0.04903337174417808,4.7359295358079115e-4,2.271666348032599,0.4126762220243451,0.0010915738959041735,2.4956152056661813,0.11417099132856824,0.0022480427949781146,3.7923915223331957,0.47794147858445657,0.016800601797750052,0.00606506645578313
1.585302854083551,0.05144448324565393,2.443788316169705e-4,2.293297399035461,0.365386426662735,3.689063264647454e-4,2.556802573713644,0.08091259123706757,0.009297720426073573,2.8864548798621237,0.28124324846700466,0.013479627415271856,1.5052046165189774e-4
1.565734621325956,0.04853535189174414,0.017716498329659457,2.3907805385529466,0.415031511568609,4.4616396232233344e-4,2.647963125130154,0.1041496910875736,0.0010606978472786177,3.573908994714167,0.37836683305231456,0.01334229063882662,0.01313000946257083
1.571330345982529,0.05032681241765512,0.002408351349214907,2.3859359937763167,0.3809569089723525,1.0097214732617487e-4,2.6863105243957515,0.10317837161172932,0.001069828875927458,3.3526247817985286,0.372571070158874,0.015435854008666082,4.54606865768185e-4
1.5619896042188317,0.0489513548706383,7.523735246693487e-4,2.37512396493581,0.4471763678032262,2.1049586860023899e-4,2.6977449952398183,0.12545875718949792,0.0029536434362404953,4.0906487549946124,0.41728782361859823,0.015259666047040852,0.0072811867226752905
